Affiliation,Percentage of authors,Authors
MCI WorldCom Advanced Networks,0.01%,1
MCIWorldcom,0.02%,2
MCM,0.01%,1
McMaster University,0.01%,1
MCSR Labs,0.02%,2
"MCTR, UMBC",0.01%,1
MediaTec,0.01%,1
MediaTek,0.02%,2
Mediatek USA,0.01%,1
Mediatrix Telecom,0.01%,1
Medooze,0.01%,1
Meetecho,0.02%,2
Meetinghouse Data Communications,0.01%,1
Megisto,0.01%,1
Megisto Systems,0.01%,1
Meiji Univ,0.01%,1
Meinberg,0.01%,1
Meinberg Funkuhren GmbH&Co.KG,0.02%,2
Meinberg USA,0.01%,1
Meinberg-USA,0.01%,1
Mellanox,0.04%,5
Mellanox Technologies,0.03%,4
Memory Palace Press,0.01%,1
Mentor Embedded Software Division,0.01%,1
Mercari,0.02%,2
"Mercari, Inc. R4D",0.01%,1
Mercata SagL,0.01%,1
Merit,0.04%,5
Merit Network,0.09%,12
Merit Networking,0.01%,1
Merit Networks,0.03%,4
Merit/NSFNET,0.03%,4
Message Systems,0.02%,2
Messaging Anti-Abuse WG,0.01%,1
Messaging Architects,0.01%,1
Messaging Direct,0.01%,1
MessagingDirect,0.02%,2
mesur.io,0.01%,1
Meta,0.08%,11
Meta Platforms,0.06%,8
Metafinanz Informationssysteme,0.01%,1
Metanoia,0.01%,1
Metaplex,0.01%,1
MetaSolv,0.01%,1
Metaswitch,0.02%,3
Metaswitch Networks,0.07%,9
MetaTel,0.01%,1
Metaweb Technologies,0.01%,1
Meteor Network,0.01%,1
MetiaTek,0.01%,1
MetraTech Corp.,0.02%,2
Metromedia Fiber Network,0.01%,1
Metswitch Networks,0.01%,1
Meyer Consulting,0.01%,1
MFN,0.01%,1
MG-SOFT,0.01%,1
Michael Dibiasio,0.01%,1
MicroLegend Telecom Systems,0.02%,3
Micronas,0.01%,1
Microsemi,0.02%,2
Microsoft,1.31%,173
Microsoft Corporation,0.01%,1
Microsoft Azure,0.01%,1
Microsoft Corp,0.05%,6
Microsoft Corp.,0.16%,21
Microsoft Corporation,0.65%,86
Microsoft Deutschland,0.01%,1
Microsoft India,0.01%,1
Microsoft Research,0.09%,12
Microsoft Research Asia,0.01%,1
"Microsoft,",0.01%,1
Midea Group,0.01%,1
Mike Coulas,0.01%,1
Mike Shand,0.01%,1
Millicast,0.01%,1
Millpark,0.01%,1
Mimecast,0.02%,2
MIMEsweeper Group,0.01%,1
Mimosa,0.01%,1
Mimosa Systems,0.01%,1
Mind,0.02%,2
MINE lab,0.08%,10
MINE/BUPT,0.03%,4
Mines ParisTech,0.01%,1
Mingchuan Zhang,0.01%,1
MIPS,0.02%,2
MIRACL,0.02%,3
MIRACL Ltd,0.03%,4
Miranda Productions,0.01%,1
MIRANTIS,0.02%,2
Mirapoint,0.01%,1
Mirror Image,0.01%,1
MistIQ Technologies,0.01%,1
mistnet.io,0.01%,1
MIT,0.15%,20
MIT Artificial Intelligence Laboratory,0.01%,1
MIT Connection Science,0.01%,1
MIT CSAIL,0.01%,1
MIT Kerberos Consortium,0.02%,3
MIT Laboratory for Computer Science,0.02%,3
MIT LCS,0.03%,4
MIT Lincoln Laboratory,0.05%,6
MIT SIPB,0.01%,1
MIT-KIT,0.01%,1
MIT/LCS,0.02%,3
MIT/W3C,0.02%,2
Mitel Corp.,0.01%,1
Mitel Networks,0.02%,2
MITRE,0.07%,9
MITRE Corporation,0.04%,5
Mitrix,0.01%,1
Mitsubishi Electric,0.01%,1
Mitsubishi Electric Corp.,0.01%,1
Mitsubishi Electric Corporation,0.05%,6
Mitsubishi Electric Research Laboratories,0.02%,3
Mitsubishi Electric Research Labs,0.02%,2
MJMontpetit.com,0.01%,1
MLB,0.01%,1
MLB@Realtime Communications,0.01%,1
MLTF,0.01%,1
MMA,0.01%,1
MMU,0.01%,1
MNK Consulting,0.01%,1
MNK Labs and Consulting,0.01%,1
Mobilab,0.01%,1
Mobile TeleSystems J,0.02%,2
Mobile TeleSystems OJSC,0.01%,1
Mobile-Mind,0.01%,1
mobilkom austria AG,0.01%,1
Mobolize,0.01%,1
MOCOCO,0.01%,1
MODACOM,0.02%,2
Modular Networks,0.02%,2
Mojatatu Networks,0.01%,1
Monaco Telematique MC-TEL,0.01%,1
Monash University,0.02%,3
Monash University CTIE,0.03%,4
Moncaster.com,0.01%,1
Moneyhub Financial Technology,0.01%,1
Mongolian University of Science and Technology,0.01%,1
Monique Morrow,0.01%,1
Monolithic Technologies,0.01%,1
Monoski,0.01%,1
Montilio,0.01%,1
Moowee,0.01%,1
Morgan Stanley,0.02%,2
Morphoss,0.01%,1
MOT/OGERO,0.01%,1
Motorola,0.51%,68
Motorola BCS,0.02%,2
Motorola Codex,0.01%,1
Motorola India,0.01%,1
Motorola India Electronics,0.01%,1
Motorola India Private,0.01%,1
Motorola Laboratories,0.01%,1
Motorola Labs,0.03%,4
Motorola Labs and INRIA Planete,0.01%,1
Motorola Labs Paris,0.01%,1
Motorola Mobility,0.01%,1
Motorola Solutions,0.02%,2
Moulay Ismail University,0.01%,1
Moulay Ismail University of Meknes,0.01%,1
Movaz,0.01%,1
Movaz Networks,0.05%,6
Mozilla,0.21%,28
Mozilla Corporation,0.06%,8
MPI-SP & Radboud University,0.01%,1
MPI-SWS,0.02%,2
"MRC, Huawei Technologies",0.02%,3
MRV,0.01%,1
MSFT,0.02%,2
MTG AG,0.02%,2
MTI Systems,0.02%,3
MTN,0.02%,2
MTN Cameroon,0.01%,1
MTN Group Limited,0.01%,1
MTN Uganda,0.01%,1
Muenster Univ. of Appl. Science,0.01%,1
Muenster Univ. of Appl. Sciences,0.02%,3
Muenster Univ. of Applied,0.01%,1
Muenster Univ. of Applied Sciences,0.02%,3
Muenster University of Applied,0.01%,1
Muenster University of Applied Sciences,0.02%,3
Multimedia University,0.01%,1
Munich Univ. of Applied Sciences,0.01%,1
Munster Technological University,0.01%,1
Musa Unmehopa,0.02%,2
MUST,0.01%,1
MWA Ltd c/o Inmarsat Global,0.01%,1
My CFO,0.01%,1
Mykotronx,0.01%,1
Myricom,0.01%,1
Münster Univ. of Applied Sciences,0.01%,1
Münster University of Applied Sciences,0.03%,4
N. Sprecher,0.01%,1
N.E.T.,0.01%,1
NAC,0.01%,1
Nadia BOUKHATEM,0.01%,1
Nagatsugu Yamanouchi IBM,0.01%,1
Nagoya University,0.01%,1
Nagravision S.A.,0.01%,1
NAI,0.01%,1
NAI Labs,0.06%,8
NAILabs,0.01%,1
NAIST,0.02%,3
Name.com,0.01%,1
Namibian Network Information Center (Pty),0.01%,1
NANEL,0.02%,2
Nanjing Univ. of Posts and,0.02%,2
Nanjing Univ. of Posts and Telecom.,0.02%,2
Nanjing University,0.02%,2
Nanjing University of Posts and Telecommunications,0.01%,1
Nano Sec,0.01%,1
Nano Sec Co,0.01%,1
Nantes University,0.02%,2
Nara Institute of Science,0.01%,1
NASA,0.03%,4
NASA Ames Research Center,0.01%,1
NASA Ames Research Center/MRJ,0.01%,1
NASA Ames/Raytheon,0.01%,1
NASA Glenn Research Center,0.04%,5
NASA Glenn/Sterling Software,0.01%,1
NASA GRC,0.03%,4
NASA GRC/BBN,0.01%,1
NASA GRC/Verizon FNS,0.01%,1
NASA Jet Propulsion Laboratory,0.01%,1
NASA Lewis,0.02%,2
NASA Lewis/Sterling Software,0.01%,1
NASA NREN/Sterling Software,0.01%,1
NASA/Jet Propulsion Laboratory,0.02%,3
NASK,0.02%,2
NASK (+48 ENUM Registry),0.01%,1
NASK (PL-TLD),0.01%,1
NAT Consulting,0.01%,1
Nat'l Computerization Agency,0.04%,5
NAT.Consulting,0.01%,1
National Australia Bank,0.01%,1
National Center for Supercomputing Applications,0.01%,1
National Cheng Kung University,0.02%,2
National Chiao Tung University,0.01%,1
National Communications System,0.01%,1
National Computerization Agency,0.01%,1
National Digital Switching System Engineering and Technological,0.07%,9
National ICT Australia,0.02%,3
National Institute of Information and Communications Technology,0.01%,1
National Institute of Information and Communications Technology,0.08%,10
National Institute of Standards,0.02%,2
National Institute of Standards and Technology,0.05%,7
National Institutes of Health,0.01%,1
National Instruments,0.01%,1
National Internet Exchange of India (NIXI),0.01%,1
National Laboratory for Applied,0.02%,2
National Laboratory on Local Fiber-Optic Communication Network,0.02%,2
National Radio Astronomy Observatory,0.01%,1
National Research Council of Italy (CNR),0.01%,1
National Security Agency,0.15%,20
National Security Research Institute,0.03%,4
National Tsing Hua University,0.01%,1
National University,0.02%,2
National University of Singapore,0.04%,5
National Yunlin University,0.01%,1
NATO C&I Agency,0.01%,1
Naudit HPCN,0.02%,2
NAv6TF,0.01%,1
Naval Information Warfare Center Pacific,0.02%,3
Naval Postgraduate School,0.02%,2
Naval Research Lab,0.01%,1
Naval Research Laboratory,0.03%,4
NAVOMI,0.01%,1
Nayna Networks,0.02%,2
NBCUniversal,0.01%,1
NBX Corporation,0.01%,1
NC State University,0.02%,2
NCC Group,0.02%,2
NCF,0.01%,1
NCI Agency,0.01%,1
NCS,0.01%,1
NCSA,0.01%,1
NCSU,0.02%,2
NCTU,0.01%,1
nCUBE Corporation,0.01%,1
NDS Limited,0.01%,1
NDSC,0.02%,2
NDSC P.R. China,0.04%,5
"NDSC, China",0.01%,1
NearForm Research,0.01%,1
neart.ie,0.01%,1
neart.org,0.01%,1
NEC,0.38%,50
NEC (Netlab),0.01%,1
NEC AccessTechnica,0.01%,1
NEC America,0.03%,4
NEC Australia,0.02%,2
NEC BIGLOBE,0.01%,1
NEC Corp.,0.05%,6
NEC Corporation,0.07%,9
NEC Corporation of America,0.01%,1
NEC Europe,0.11%,15
NEC Europte,0.01%,1
NEC Germany,0.01%,1
NEC Lab,0.01%,1
NEC Laboratories,0.02%,2
NEC Laboratories Europe,0.05%,6
NEC Labs America.,0.01%,1
NEC Labs China,0.02%,2
NEC Labs Europe,0.01%,1
NEC Network Laboratories,0.01%,1
NEC Philips,0.01%,1
NEC Platforms,0.01%,1
NEC USA,0.03%,4
"NEC, China",0.01%,1
NEC/H-DA,0.01%,1
Neda,0.01%,1
Neda Communications,0.01%,1
Nederlandse Publieke Omroep,0.01%,1
Nemu Dialogue Systems Oy,0.01%,1
NENA,0.01%,1
Nentec,0.01%,1
Neptela,0.01%,1
Nest,0.02%,2
Nest Labs,0.02%,3
Net Effect,0.01%,1
Net Optics,0.01%,1
Net Proj,0.02%,2
net&tv,0.01%,1
Net-Mobile,0.01%,1
Net.Com,0.01%,1
NetApp,0.19%,25
Netconf Central,0.01%,1
netconfcentral.org,0.01%,1
NetConsult,0.01%,1
NetConsult AG,0.01%,1
NetContinuum,0.01%,1
NetCracker,0.02%,2
NetDEF,0.02%,3
NetEase,0.01%,1
Neteka,0.02%,2
Netergy Networks,0.02%,2
Neterion,0.01%,1
Netflix,0.08%,10
Netgate,0.01%,1
NETikos S.p.A.,0.01%,1
NetIQ Corp.,0.01%,1
Netmagic Associates,0.01%,1
Netnod,0.05%,6
Netnod Internet Exchange,0.01%,1
Netnod Internet Exchangen,0.01%,1
NetNumber,0.02%,3
Netpath,0.01%,1
Netplane Networks,0.01%,1
NetPlane Systems,0.02%,2
NetRake,0.01%,1
Netrake Corporation,0.01%,1
Netscape,0.08%,11
Netscape Communications,0.09%,12
Netscape Communications Corp,0.01%,1
Netscape Communications Corp.,0.09%,12
Netscape Communications Corporation,0.02%,3
NetScout Systems,0.01%,1
Netseal,0.02%,3
NetSeal Technologies,0.01%,1
NetSecOPEN,0.01%,1
Netskope,0.01%,1
NetStar,0.01%,1
Netstar Logicalis,0.01%,1
NetStar Networks,0.01%,1
Netsuite Development,0.01%,1
Netword,0.01%,1
Network Alchemy,0.02%,3
Network Appliance,0.11%,14
Network Associates,0.05%,6
Network Associates Laboratories,0.02%,2
Network Associates Labs,0.01%,1
Network Engines,0.01%,1
Network Heretics,0.01%,1
Network Innovations,0.01%,1
Network Management Associates,0.01%,1
Network Polygraph,0.01%,1
Network Projects,0.02%,2
Network RADIUS,0.01%,1
Network RADIUS SARL,0.01%,1
Network Research Division,0.02%,2
Network Resonance,0.02%,2
Network Solutions,0.04%,5
Network Startup Resource Center,0.03%,4
Network Systems Corp.,0.01%,1
Network Systems Research & Design,0.01%,1
Network Systems Research and Design,0.01%,1
Network Test,0.01%,1
Network Time Foundation,0.03%,4
Network UPS Tools Project,0.01%,1
Network Working Group,0.01%,1
Network Zen,0.01%,1
Networked Media,0.01%,1
Netzkonform,0.01%,1
Netzwert AG,0.01%,1
NEU,0.06%,8
NeuStar,0.18%,24
Neustar (a TransUnion company),0.01%,1
Neustar (a TransUnion Company).,0.01%,1
Neville-Neil Consulting,0.01%,1
Nevis Networks,0.01%,1
New Access Communications,0.01%,1
New Century Systems,0.01%,1
New College Florida,0.01%,1
New H3C,0.01%,1
New H3C Technologies,0.09%,12
New H3C Technologies Co.,0.02%,2
New H3C Technologies Co. Ltd,0.05%,7
New Mexico State University,0.01%,1
New Oak,0.02%,2
New Oak Communications,0.01%,1
New York University Abu Dhabi,0.01%,1
New Zealand Government,0.02%,2
New Zealand Registry Services,0.01%,1
NewBay Software,0.02%,2
Newbridge,0.02%,3
Newbridge Networks,0.03%,4
Newbridge Networks Corporation,0.02%,2
Newcastle University,0.02%,2
NEWRSC,0.01%,1
Nexabit Networks,0.02%,2
Nexagent,0.01%,1
Nexar,0.02%,3
Nexenta,0.02%,2
Nexenta Systems,0.01%,1
NeXor,0.01%,1
Nexsi Systems,0.02%,2
Next Layer Communications,0.01%,1
next layer Telekom,0.01%,1
Nextbeacon,0.01%,1
NextHop,0.02%,2
NextHop Technologies,0.05%,6
NextNav,0.01%,1
NexTone Communications,0.02%,2
NextPoint Networks,0.01%,1
Nextwave Wireless,0.01%,1
Nextworks,0.04%,5
Nexus,0.02%,2
Nexus Group,0.01%,1
Nexus Technology,0.02%,2
NFC Forum,0.01%,1
NGI Research Center,0.01%,1
NIA,0.01%,1
Nibbhaya Consulting,0.01%,1
NIC Chile,0.01%,1
NIC Chile Research Labs,0.01%,1
NIC Labs Chile,0.01%,1
"NIC Labs, Universidad de Chile",0.01%,1
NIC Mexico,0.02%,2
nic.at,0.04%,5
NIC.br,0.03%,4
NICE Systems,0.01%,1
Nicholas Race,0.02%,2
Nicolaus,0.04%,5
Nicolaus Copernicus University,0.01%,1
NICT,0.14%,18
NICT/Japan,0.01%,1
NICT/KDDI R&D Labs,0.01%,1
NICTA,0.03%,4
NIDA,0.04%,5
Nightwatch Cybersecurity,0.01%,1
NIIF/Hungarnet,0.02%,2
Niigata University,0.02%,2
NIKSUN,0.02%,2
NIL,0.01%,1
Nillion,0.01%,1
Nimbus Operations,0.01%,1
Nimcat Networks,0.01%,1
Nine by Nine,0.01%,1
Nippon Telegraph and Telephone Corporation,0.01%,1
Nishan Systems,0.02%,3
NIST,0.18%,24
NIST/ETRI,0.01%,1
Nisto,0.01%,1
NIT Delhi,0.02%,3
"NIT, Delhi",0.01%,1
NITK Surathkal,0.04%,5
NITK Surathkal/Google,0.01%,1
Nivetti Systems,0.02%,2
Nivis,0.01%,1
NIXI,0.02%,2
Nixxo,0.01%,1
NJUPT,0.05%,7
Nkom,0.01%,1
NLA,0.01%,1
NLANR,0.01%,1
nLayer Communications,0.02%,2
NLNet,0.01%,1
NLnet Labs,0.12%,16
NLNet Labs B.V.,0.02%,2
NLNetLabs,0.01%,1
NMA,0.01%,1
NMS Communications,0.01%,1
NNIX,0.01%,1
NNSC,0.01%,1
no affiliation,0.05%,6
No Mountain Software,0.01%,1
no org,0.01%,1
No organization,0.02%,2
NOAA/GFDL,0.01%,1
NOAO,0.01%,1
Noell,0.01%,1
Nokia,1.46%,194
Nokia Siemens Networks,0.01%,1
Nokia - IT,0.01%,1
Nokia Bell Labs,0.05%,6
Nokia Canada,0.01%,1
Nokia China R&D Center,0.01%,1
Nokia Corp,0.02%,2
Nokia Corporation,0.01%,1
Nokia Institute of Technology,0.02%,2
Nokia Mobile Phones,0.02%,3
Nokia Networks,0.08%,11
Nokia Research,0.01%,1
Nokia Research Center,0.25%,33
Nokia Siemens,0.02%,3
Nokia Siemens Network,0.02%,3
Nokia Siemens Networks,0.28%,37
Nokia Siemens Networks GmbH and,0.01%,1
Nokia Solutions and Networks,0.04%,5
Nokia Technologies,0.03%,4
Nokia Telecommunications,0.02%,3
Nokia-Bell-labs,0.01%,1
Nokia/Alcatel-Lucent,0.01%,1
Nokia/TUT,0.01%,1
"NomadicLab, Ericsson Research",0.01%,1
Nominet,0.06%,8
Nominet UK,0.02%,2
Nominum,0.10%,13
Nomor Research,0.01%,1
Nomura Research Institute,0.01%,1
None,0.02%,2
Nordic Semiconductor,0.02%,2
NORDUnet,0.02%,2
NORDUnet/SUNET,0.01%,1
Normal College of Shenzhen University,0.01%,1
Nortel,0.37%,49
Nortel (Northern Telecom),0.02%,2
Nortel Networks,1.30%,172
Nortel Networks Corp.,0.02%,3
Nortel Networks/ENST Paris,0.01%,1
Nortel UK,0.01%,1
NortelNetworks,0.01%,1
North Carolina State University,0.05%,7
North South University,0.01%,1
Northeastern University,0.05%,6
Northern Block,0.01%,1
Northern Telecom,0.01%,1
NorthernBlock,0.01%,1
Northstream,0.01%,1
Northstream AB,0.01%,1
Northwestern University,0.03%,4
NorthWestNet,0.01%,1
Norton Lifelock,0.01%,1
Norwegian Communications Authority,0.01%,1
Norwegian Computing Center,0.01%,1
Not Organised,0.01%,1
Nova Notio.,0.01%,1
Novell,0.26%,35
Novell Corporation,0.01%,1
November 2000 Ericsson/WCOM,0.01%,1
NOWARE,0.01%,1
Nozomi,0.01%,1
NPG,0.01%,1
NRC,0.01%,1
NRC-CNRC,0.02%,2
NRI,0.01%,1
NRL,0.05%,6
NS-Technologies,0.02%,2
NS1,0.02%,2
NSA,0.08%,11
NSA-CCSS,0.01%,1
NSC,0.01%,1
NSF,0.01%,1
NSFNET/MERIT,0.01%,1
NSN,0.05%,6
NSRI,0.08%,11
NSWC-DD,0.05%,7
Ntear,0.01%,1
NTEC Australia,0.01%,1
NthPermutation Security,0.01%,1
NTRU,0.01%,1
NTT,0.58%,77
NTT America,0.01%,1
NTT Com,0.01%,1
NTT Communications,0.18%,24
NTT Communications Corporation,0.05%,6
NTT Corp,0.01%,1
NTT Corporation,0.14%,18
NTT Data,0.02%,2
NTT DoCoMo,0.07%,9
NTT DoCoMo USA Labs,0.01%,1
NTT East,0.03%,4
NTT East Corporation,0.01%,1
NTT I3,0.02%,2
NTT Innovation Institute,0.01%,1
NTT Laboratories,0.02%,3
NTT MCL,0.02%,3
NTT Mobile Communications Network,0.03%,4
NTT Neomeit,0.01%,1
NTT Network Innovation Labs,0.02%,2
NTT Network Innovation Labs.,0.02%,3
NTT Network Innovations,0.01%,1
NTT NI,0.01%,1
NTT NS Lab.,0.01%,1
NTT NT Lab,0.01%,1
NTT PF Lab,0.01%,1
NTT PF Lab.,0.05%,6
NTT PF Labs,0.01%,1
NTT PF Labs.,0.01%,1
"NTT Research and ENS, Paris",0.01%,1
NTT SOFT,0.02%,2
NTT Software,0.01%,1
NTT Software Corp.,0.01%,1
NTT Software Corporation,0.02%,2
NTT West,0.02%,2
"NTT, Corp.",0.01%,1
NTT-AT,0.03%,4
NTT-Data,0.01%,1
NTT-East,0.01%,1
NTT-east Corporation,0.02%,3
NTT/VERIO,0.01%,1
NTU,0.01%,1
NTUA,0.01%,1
Nuage,0.01%,1
Nuage Networks,0.05%,7
Nuage Networks.,0.02%,3
Nuagenetworks,0.01%,1
Nuance Communications,0.01%,1
NUDT,0.04%,5
Nuera Communications,0.01%,1
NueStar,0.01%,1
Nuova Systems,0.03%,4
NUS,0.01%,1
Nutanix,0.01%,1
NVDIA,0.01%,1
Nvidia,0.05%,7
nVisible Networks,0.01%,1
NXP,0.01%,1
NXP Semiconductors,0.02%,2
Nymble Design,0.01%,1
Nyquetek,0.01%,1
Nyquetek Inc.,0.01%,1
O. Adamuz-Hinojosa,0.01%,1
O. Garcia-Morchon,0.01%,1
O. Gonzalez,0.01%,1
O. Gudmundsson,0.01%,1
O. Huang,0.02%,2
O. Tavakoli,0.01%,1
O.L.N. Rao,0.02%,2
O3b Networks,0.01%,1
OARnet,0.01%,1
OARnet & ISI,0.01%,1
OASIS,0.01%,1
Oblix,0.01%,1
Oblix Inc.,0.01%,1
Ocarina Networks,0.01%,1
Ocarina Systems,0.01%,1
Occam Networks,0.01%,1
OCCNC,0.01%,1
Oceana Matrix,0.01%,1
Oceania,0.01%,1
OCLC,0.01%,1
OCLC Online Computer Library Center,0.01%,1
Octalis SA,0.01%,1
Octasic,0.01%,1
Octasic Semiconductor,0.01%,1
Octel Network Services,0.01%,1
Odessa National Academy,0.01%,1
ODETTE,0.02%,2
Odette International,0.01%,1
Odin Solutions S.L.,0.01%,1
ODVA,0.01%,1
OeFEG,0.01%,1
Offen,0.02%,2
Office of Emergency Communication/DHS,0.01%,1
OfficeTone,0.01%,1
OGC,0.01%,1
OGUD Consulting,0.01%,1
Ohio University,0.06%,8
Ohio University IRG,0.01%,1
OIR-ID,0.01%,1
Okayama University,0.01%,1
Oki,0.02%,3
Oklahoma State University,0.01%,1
Oksijen Teknoloji,0.01%,1
Okta,0.03%,4
Olafur Gudmundsson,0.01%,1
Old Dog Consulting,0.02%,3
Old Dominion University,0.01%,1
Olddog Consulting,0.01%,1
Olym Tech.,0.02%,2
OMA,0.01%,1
Omnia Communications.,0.01%,1
OMNICS,0.01%,1
Omnitor,0.01%,1
Omnitor AB,0.01%,1
On behalf of the ITU-T TSB,0.01%,1
On Sabbatical,0.01%,1
Onboard Security,0.02%,2
One Identity,0.01%,1
OneAccess,0.01%,1
Onesecure,0.01%,1
OneSparrow,0.01%,1
ONI Systems,0.01%,1
OP3FT,0.02%,3
Open Cloud Initiative,0.01%,1
Open Connect Systems,0.02%,3
Open Data Institute,0.01%,1
Open Ethics Initiative,0.01%,1
Open Garden,0.01%,1
Open Geospatial Consortium,0.01%,1
Open Grid Computing,0.01%,1
Open IPTV Forum,0.01%,1
Open IPTV Forum e.V.,0.02%,2
Open Market,0.01%,1
Open Mobile Alliance,0.01%,1
Open Netlabs B.V.,0.02%,2
Open Networks,0.02%,2
Open Software Foundation,0.01%,1
Open Text Corporation,0.01%,1
Open Xchange Oy,0.01%,1
Open-Exchange,0.01%,1
Open-Xchange,0.02%,3
Open-Xchange Oy,0.02%,3
Open-Xchange Srl,0.01%,1
OpenAFS Project,0.01%,1
OpenBSD,0.01%,1
OpenCA Labs,0.01%,1
OpenDirectory,0.01%,1
OpenDNS,0.01%,1
OpenDrives.com,0.01%,1
Openet-Telecom,0.01%,1
OpenFortress,0.01%,1
OpenFortress B.V.,0.01%,1
OpenFortress BV,0.01%,1
OpenFortress Digital signatures,0.01%,1
OpenFortress.nl,0.01%,1
OpenLDAP Foundation,0.01%,1
OpenSS7,0.02%,2
OpenSS7 Corporation,0.01%,1
OpenSSH,0.04%,5
OpenVision Technologies,0.01%,1
Openwave,0.02%,3
Openwave Systems,0.02%,3
OpenXchange,0.01%,1
Opera Software,0.03%,4
Opera Software ASA,0.01%,1
Operant Networks,0.01%,1
Operator Foundation,0.01%,1
Operax,0.02%,2
Opsware,0.01%,1
Optical Datacom,0.01%,1
Optiva Media,0.01%,1
optivo,0.01%,1
Opus One,0.01%,1
Oracle,0.30%,40
Oracle + Dyn,0.01%,1
Oracle Communications,0.01%,1
Oracle Corp,0.01%,1
Oracle Corp.,0.02%,3
Oracle Corporation,0.14%,18
Oracle Dyn,0.02%,2
Oracle India Pvt,0.01%,1
Oracle India Pvt.,0.01%,1
Orange,0.35%,46
Orange Business Service,0.01%,1
Orange Business Services,0.02%,3
Orange CH,0.01%,1
Orange FT,0.01%,1
Orange Labs,0.14%,19
Orange Labs R&D,0.02%,2
Orange Labs/France Telecom R&D,0.01%,1
Orange PCS,0.01%,1
Orange Polska,0.02%,2
Orange SA,0.01%,1
Orange-France Telecom,0.01%,1
Orange/LIP6,0.01%,1
Orckit-Corrigent,0.02%,3
Ordyn Technologies,0.01%,1
Organic Online,0.01%,1
Organization ChazahGroup,0.01%,1
Ori Industries,0.01%,1
Oriental Cable Network,0.01%,1
Orion Health,0.01%,1
Orion Security,0.01%,1
Orion Security Solutions,0.02%,2
ORNL,0.01%,1
Orolia USA,0.01%,1
Orthanc Systems,0.01%,1
Oryx,0.01%,1
Oryx Mail Systems,0.02%,2
Oryx Mail Systems GmhH,0.01%,1
OSAF,0.01%,1
Osaka City University,0.01%,1
Osaka University,0.02%,2
OSC,0.01%,1
OSS Nokalva,0.01%,1
Ostfalia University of Applied Sciences,0.01%,1
Ostfold University College,0.01%,1
Ostschweizer Fachhochschule - OST,0.01%,1
OTB Consulting Corp.,0.01%,1
Oterra.ai,0.01%,1
Outer Cape Cod Network,0.01%,1
Outer Cape Cod Network Consulting,0.01%,1
OutSys,0.01%,1
Ovation,0.01%,1
Oversi,0.01%,1
Overture Networks,0.02%,2
Oxbotica,0.01%,1
Oxford Brookes University,0.01%,1
Oxford Internet Institute,0.01%,1
Oxford University,0.01%,1
Oy L M Ericsson Ab,0.03%,4
Oy LM Ericsson Ab,0.02%,3
Oz Communications,0.01%,1
P. Brittain,0.01%,1
P. Cheng,0.01%,1
P. Gross,0.01%,1
P. NG Tung,0.01%,1
P. Paolo Lucente,0.02%,2
P. Pierre Francois,0.01%,1
P. Raison,0.01%,1
P.L. Peng,0.01%,1
P2PSIP.org/William and Mary,0.01%,1
P6R,0.02%,2
Pacific Broadband Communications,0.01%,1
Pacific Gas and Electric,0.02%,2
Pacific Softworks,0.01%,1
Pacific*Bell,0.01%,1
Packet Clearing House,0.02%,2
Packet Design,0.03%,4
PacketExchange,0.01%,1
PacketVideo Corp,0.01%,1
PacketVideo Network Solutions,0.01%,1
Paderborn University,0.02%,2
PADL,0.01%,1
PADL Software,0.01%,1
PADL Software Pty,0.01%,1
PADL Software Pty.,0.01%,1
Painless Security,0.03%,4
Palo Alto Networks,0.05%,7
Pan-Am Internet Services,0.01%,1
Panasas,0.04%,5
Panasonic,0.24%,32
Panasonic Research,0.02%,2
Panasonic Singapore Labs,0.03%,4
Panasonic Wireless Research Lab,0.01%,1
Panda Programming,0.01%,1
Pando,0.01%,1
Pando Networks,0.01%,1
PanteraTech,0.01%,1
Pantheon Technologies,0.02%,2
Pantheon Technologies SRO,0.02%,2
PAR Government Systems Corp.,0.01%,1
Paradyne,0.02%,2
Paradyne Networks,0.01%,1
Paragon Initiative Enterprises,0.02%,2
PARC,0.03%,4
Parsons,0.02%,3
PassEdge,0.01%,1
Pat R. Calhoun,0.02%,2
Paul Jones,0.02%,2
Paul. Kyzivat,0.02%,2
Pavonis Consulting,0.01%,1
pawisda systems,0.01%,1
PayPal,0.04%,5
PBS,0.01%,1
PCC,0.01%,1
PCCW Global,0.01%,1
PCL,0.01%,1
PD Nets,0.01%,1
"PDC, KTH",0.01%,1
PDF Association,0.01%,1
PDNETs,0.02%,2
pdv Financial Software,0.01%,1
Pearl Crescent,0.01%,1
Pearlfisher International,0.01%,1
Pedestal Networks,0.01%,1
Peerless Network,0.01%,1
Peerless Systems Networking,0.01%,1
Peking University,0.02%,3
Peloton Technology,0.01%,1
Penango,0.01%,1
Peng Cheng Laboratory,0.01%,1
Pengcheng Laboratory,0.02%,3
Penn State,0.01%,1
pEp Foundation,0.04%,5
pEp Project,0.01%,1
Pepperpot Media,0.01%,1
Perceval,0.01%,1
Performance Systems International,0.02%,3
Perinet,0.01%,1
PESA Switching Systems,0.01%,1
Peter Blatherwick,0.01%,1
Peter Kirstein,0.01%,1
Peter Psenak,0.01%,1
Petr Fiedler,0.01%,1
Petri Koskelainen,0.01%,1
PetroChina Huabei Oilfield Company,0.02%,3
Petz Enterprises,0.01%,1
Pexip,0.01%,1
PFN,0.02%,2
